247,P,CES820,INDEPENDENT STUDY,3,0,3,,G S BANIPAL,100
248,P,CES870,INDEPENDENT STUDY,3,0,3,,VASANT A MATSAGAR,100
249,P,CET410,PRACTICAL TRAINING,0,0,0,,K G SHARMA,100
250,P,CEL845,TRANSPORTATION & TRAFFIC INFRASTRUCTURE  DESIGN,3,3,0,,S K DEB,100
251,P,CED892,MAJOR PROJECT PART-II,12,0,0,,ATUL KUMAR MITTAL,100
252,P,CED875,MAJOR PROJECT PART-I,6,0,0,,SHASHANK BISHNOI,100
253,P,CED881,MAJOR PROJECT PART-I,6,0,0,,GEETAM TEWARI,100
254,P,CED882,MAJOR PROJECT PART-II,12,0,0,,GEETAM TEWARI,100
255,P,CED891,MAJOR PROJECT PART-I,6,0,0,,ARVIND KUMAR NEMA,100
256,P,CED310,MINI PROJECT (CE),3,0,0,,MUKESH KHARE,100
257,P,CED411,MAJOR PROJECT PART 1 (CE),3,0,0,,MUKESH KHARE,100
258,P,CED412,MAJOR PROJECT PART 2 (CE),7,0,0,,MUKESH KHARE,100
259,P,CED701,MINOR PROJECT,3,0,0,,R AYOTHIRAMAN,100
260,P,CED811,MAJOR PROJECT PART-I,6,0,0,,JAGDISH TELANGRAO SHAHU,100
261,P,CED820,MAJOR PROJECT PART - I,6,0,0,,G S BANIPAL,100
262,P,CED821,MAJOR PROJECT PART - I,6,0,0,,G S BANIPAL,100
263,P,CED822,MAJOR PROJECT PART-II,12,0,0,,G S BANIPAL,100
264,P,CED841,MAJOR PROJECT PART-I,6,0,0,,RAKESH KHOSA,100
265,P,CED851,MAJOR PROJECT PART-I,6,0,0,,K K GUPTA,100
266,P,CED871,MAJOR PROJECT PART-I,6,0,0,,VASANT A MATSAGAR,100
267,P,CED872,MAJOR PROJECT PART-II,12,0,0,,VASANT A MATSAGAR,100
268,A,EEL101,FUNDAMENTALS OF ELECT ENGG,4,3,0,,J K CHATTERJEE,100
269,A,EEL601,COMPUTER  ARCHITECTURE,3,3,0,,SUMANTRA DUTTA ROY,100
270,A,EEL711,SIGNAL THEORY,3,3,0,,RANJAN KUMAR MALLIK,100
271,A,EEL742,PHYSICAL PHENOMENON & DESIGN CONCEPTS IN MACHINES,3,3,0,,BHIM SINGH,90
272,A,EEL791,POWER SYSTEM ANALYSIS,3,3,0,,P R BIJWE,100
273,A,EEL861,SELECTED TOPICS IN COMMUN ENGG.-I,3,3,0,,SURINDER PRASAD,100
274,A,EEL879,SELECTED TOPICS IN ADV CONTROL & SYSTEM THEORY- II,3,3,0,,S JANARDHANAN,90
275,A,EEL890,PHOTONIC SWITCHING AND NETWORKING,3,3,0,,DEVI CHADHA,100
276,B,EEL858,MOBILE COMPUTING,3,3,0,,H M GUPTA,100
277,B,EEP842,POWER ELECTRONICS LABORATORY,1.5,0,0,,BHIM SINGH,100
278,B,EEL743,"POWER ELECTRONIC DEVICES
& DC CONVERTERS",3,3,0,,BHIM SINGH,100
279,B,EEL721,LINEAR SYSTEM THEORY,3,3,0,,MASHUQ-UN-NABI,100
280,B,EEL319,DIGITAL SIGNAL PROCESSING,4,3,0,,SHANKAR PRAKRIYA,80
281,C,EEL430,SELECTED TOPICS IN COMMUNICATION ENGINEERING - II,3,3,0,,BREJESH LALL,100
282,C,EEL482,MECHATRONICS,3,3,0,,J K CHATTERJEE,90
283,C,EEL732,MICROELECTRONICS,3,3,0,,M JAGADESH KUMAR,100
284,C,EEL102,PRINCIPLES OF ELECT ENGG,4,3,0,,MUMMADI VEERACHARY,100
