146,D,CEL840,STOCHASTIC HYDROLOGY,3.0,3,0,0,RAKESH KHOSA,0,
147,B,CEL847,VISCOELASTIC BEHAVIOR OF BITUMINOUS MATERIALS,3.0,3,0,0,Aravind Krishna Swamy,0,
148,B,CEL866,Infrastructure Development and Management,3.0,3,0,0,K CHANDRASHE KHAR IYER,0,
149,D,CEL886,ENVIRONMENTAL SYSTEMS ANALYSIS,4.0,3,0,2,ARVIND NEMA,0,CORE
150,B,CEL891,THERMAL TECHNICS FOR WASTE MANAGEMENT,3.0,3,0,0,BABU J ALAPPAT,0,
151,F,CEL899,ENVIRONMENTAL RISK ASSESSMENT,3.0,3,0,0,ARUN KUMAR,0,
152,NM,CEN110,INTRODUCTION TO CIVIL ENGINEERING,2.0,0,0,4,VASANT MATSAGAR,0,CORE
153,P,CEN760,METRO PROFESSIONAL PRACTICES,2.0,0,2,0,KUMAR JHA,0,CORE
154,T,CEP701,SOIL ENGINEERING LABORATORY,3.0,0,0,6,BAPPADITYA MANNA,0,CORE
155,P,CEP726,STRUCTURAL ENGG LAB,3.0,0,0,6,SUPRATIC GUPTA,0,CORE
156,P,CEP740,SIMULATION LABORATORY,4.0,1,0,6,N K GARG,0,CORE
157,P,CEP751,ROCK MECHANICS LAB-I,3.0,0,0,6,K S RAO,0,CORE
158,K,CEP789,ENVIRONMENTAL CHEMISTRY AND MICROBIOLOGY,3.0,1,0,4,ATUL MITTAL,0,CORE
159,P,CES810,INDEPENDENT STUDY,3.0,0,3,0,R AYOTHIRAMA N,0,
160,P,CES820,INDEPENDENT STUDY,3.0,0,3,0,VASANT MATSAGAR,0,
161,P,CES870,INDEPENDENT STUDY,3.0,0,3,0,ABHIJIT GANGULI,0,
162,P,CES874,INDEPENDENT STUDY,3.0,0,3,0,SHASHANK BISHNOI,0,
163,P,CET410,PRACTICAL TRAINING,0.0,0,0,0,BABU J ALAPPAT,0,CORE
164,P,CHC410,COLLOQUIUM (CH),3.0,0,3,0,GAURAV GOEL,0,CORE
165,P,CHD411,MAJOR PROJECT PART 1 (CH),4.0,0,0,8,SHAIK MUNAWAR,0,CORE
166,P,CHD781,Major Project Part 1 (CHC),6.0,0,0,12,SUDIP PATTANAYEK,0,CORE
167,P,CHD782,MAJOR PROJECT PART-II,12.0,0,0,24,SUDIP PATTANAYEK,0,CORE
168,P,CHD871,Major Project Part 1 (CM),6.0,0,0,12,JAYATI SARKAR,0,CORE
169,P,CHD873,Major Project Part 1 (CM),4.0,0,0,8,JAYATI SARKAR,0,CORE
170,P,CHD895,MAJOR PROJECT,40.0,0,0,80,VIVEK BUWA,0,
171,B,CHL103,CHEMICAL REACTOR ANALYSIS AND DESIGN,4.0,3,1,0,K DP NIGAM,0,CORE
172,B,CHL133,POWDER PROCESSING AND TECHNOLOGY,4.0,3,1,0,B PITCHUMANI,0,
173,F,CHL221,CHEMICAL REACTION ENGINEERING II,4.0,3,1,0,KAMAL PANT,0,CORE
174,E,CHL261,INSTRUMENTATION AND PROCESS CONTROL,4.0,3,1,0,SHAIK MUNAWAR,0,CORE
175,C,CHL331,FLUID-PARTICLE MECHANICS,4.0,3,1,0,SUDIP PATTANAYEK,0,CORE
176,E,CHL332,FLUIDIZATION ENGINEERING,4.0,3,1,0,RATAN MOHAN,0,
177,B,CHL392,POLYMER SCIENCE AND ENGINEERING,4.0,3,1,0,PARESH CHOKSHI,0,
178,C,CHL603,ADVANCED TRANSPORT PHENOMENA,3.0,3,0,0,VIVEK BUWA,0,CORE
179,D,CHL701,PROCESS ENGG,4.0,3,0,2,SHALINI GUPTA,0,CORE
180,E,CHL705,ELECTRO KINETIC TRANSPORT PHENOMENA,4.0,3,0,2,ANUPAM SHUKLA,0,
181,E,CHL707,ADSORPTION SEPARATION PROCESSES,3.0,3,0,0,A K GUPTA,0,
182,B,CHL722,FUNDAMENTALS OF FUEL CELL TECHNOLOGY,4.0,3,0,2,SUDDHASTWA BASU,0,
183,A,CHL723,CHEMICAL REACTOR ENGG,3.0,3,0,0,SHANTANU ROY,0,CORE
184,J,CHL740,SELECTED TOPICS IN CHEMICAL ENGINEERING,3.0,3,0,0,Jyoti Phirani,0,
185,H,CHL761,CHEMICAL ENGG MATHEMATICS,3.0,3,0,0,GAURAV GOEL,0,
186,F,CHL768,FUNDAMENTALS OF COMPUTATIONAL FLUID DYNAMICS,3.0,2,0,2,JAYATI SARKAR,0,
187,B,CHL771,Process Operations Scheduling,4.0,3,0,2,SHAIK MUNAWAR,0,
188,E,CHL777,Bioprocessing and Biosepration,3.0,3,0,0,ANURAG RATHORE,0,
189,F,CHL794,PETROLEUM REFINERY ENGG,4.0,3,0,2,SREEDEVI UPADHYAYUL A,0,
190,F,CHP302,MASS TRANSFER AND FLUID PARTICLE MECHANICS LABORAT,1.5,0,0,3,PARESH CHOKSHI,0,CORE
191,E,CHP304,CHEMICAL ENGINEERING LABORATORY - I,1.5,0,0,3,VIVEK BUWA,0,CORE
192,P,CHT410,PRACTICAL TRAINING,0.0,0,0,0,ANURAG RATHORE,0,CORE
193,P,CRD811,MAJOR PROJECT PART-I,6.0,0,0,12,ANANJAN BASU,0,CORE
194,P,CRD812,MAJOR PROJECT PART 2,12.0,0,0,24,ANANJAN BASU,0,CORE
195,A,CRL704,SENSOR ARRAY SIGNAL PROCESSING,3.0,3,0,0,MONIKA AGGARWAL,0,
196,J,CRL707,HUMAN & MACHINE SPEECH COMMUNICATION,3.0,3,0,0,ARUN KUMAR,0,
197,A,CRL711,CAD OF RF AND MICROWAVE DEVICES,4.0,3,0,2,S K KOUL,0,CORE
198,H,CRL713,FUNDAMENTAL OF RF ELECTRONICS,3.0,2,0,2,ANANJAN BASU,0,CORE
199,F,CRL715,RADIATING SYSTEM FOR RF COMMUNICATION,3.0,3,0,0,MAHESH ABEGAONKAR,0,
200,J,CRL722,RF AND MICROWAVE SOLID STATE DEVICES,3.0,3,0,0,SUDHIR CHANDRA,0,
201,J,CRL731,SELECTED TOPICS IN RFDT-I,3.0,3,0,0,RAJENDRA BAHL,0,
202,E,CRL732,SELECTED TOPICS IN RFDT-II,3.0,3,0,0,MONIKA AGGARWAL,0,
203,A,CRL733,SELECTED TOPICS IN RFDT-III,3.0,3,0,0,KARUN RAWAT,0,
204,P,CRP723,"FABRICATION TECHNIQUES FOR RF
& MICROWAVE DEVICES",3.0,1,0,4,Saakshi Dhanekar,0,CORE
205,P,CSC410,COLLOQUIUM (CS),3.0,0,3,0,SANJIVA PRASAD,0,CORE
206,P,CSD310,MINI PROJECT (CS),3.0,0,0,6,VINAY RIBEIRO,0,
207,P,CSD411,MAJOR PROJECT PART 1 (CS),4.0,0,0,8,SMRUTI RANJAN SARANGI,0,CORE
208,P,CSD412,MAJOR PROJECT PART 2 (CS),8.0,0,0,16,SMRUTI RANJAN SARANGI,0,
209,P,CSD745,MINOR PROJECT,4.0,0,1,6,AMIT KUMAR,0,CORE
210,P,CSD750,MINOR PROJECT (CO),4.0,0,1,6,RAGESH JAISWAL,0,CORE
211,P,CSD851,MAJOR PROJECT PART 1 (CO),6.0,0,0,12,RAGESH JAISWAL,0,CORE
212,P,CSD852,MAJOR PROJECT PART 2 (CO),14.0,0,0,28,RAGESH JAISWAL,0,CORE
213,P,CSD853,MAJOR PROJECT PART 1 (CO),4.0,0,0,8,RAGESH JAISWAL,0,CORE
214,P,CSD854,MAJOR PROJECT PART 2 (CO),16.0,0,0,32,RAGESH JAISWAL,0,CORE
215,P,CSD893,MAJOR PROJECT PART - I,6.0,0,0,12,RAGESH JAISWAL,0,CORE
216,P,CSD894,MAJOR PROJECT PART-II,12.0,0,0,24,RAGESH JAISWAL,0,CORE
217,P,CSD895,MAJOR PROJECT,40.0,0,0,80,RAGESH JAISWAL,0,
218,BM,CSL100,INTRODUCTION TO COMPUTER SCIENCE,4.0,3,0,2,AMITABHA BAGCHI,0,
219,BP,CSL100,INTRODUCTION TO COMPUTER SCIENCE,4.0,3,0,2,SANJIVA PRASAD,0,
220,AP,CSL101,INTRO TO COMPUTERS AND PROGRAMMING,4.0,3,0,2,AMITABHA BAGCHI,0,CORE
221,AM,CSL102,INTRODUCTION TO COMPUTER SCIENCE,4.0,3,0,2,SANJIVA PRASAD,0,CORE
222,E,CSL303,LOGIC FOR COMPUTER SCIENCE,4.0,3,0,2,S ARUN- KUMAR,0,
223,M,CSL333,ARTIFICIAL INTELLIGENCE,4.0,3,0,2,SAROJ KAUSHIK,0,
224,B,CSL341,FUNDAMENTALS OF MACHINE LEARNING,4.0,3,0,2,PARAG SINGLA,0,
225,F,CSL356,ANALYSIS AND DESIGN OF ALGORITHMS,4.0,3,1,0,RAGESH JAISWAL,0,CORE
226,D,CSL374,COMPUTER NETWORKS,4.5,3,0,3,AADITESHWA R SETH,0,CORE
227,A,CSL630,ADVANCED DATA STRUCTURES,4.0,3,0,2,SANDEEP SEN,0,CORE
228,D,CSL672,COMPUTER NETWORKS,4.0,3,0,2,AADITESHWA R SETH,0,
229,F,CSL719,SYNTHESIS OF DIGITAL SYSTEMS,4.0,3,0,2,ANSHUL KUMAR,0,CORE
230,H,CSL728,COMPILER DESIGN,4.5,3,0,3,SORAV BANSAL,0,
231,E,CSL765,INTRODUCTION TO LOGIC AND FUNCTIONAL PROGRAMMING,4.0,3,0,2,S ARUN- KUMAR,0,CORE
232,K,CSL781,COMPUTER GRAPHICS,4.5,3,0,3,PREM KALRA,0,
233,B,CSL783,DIGITAL IMAGE ANALYSIS,4.5,3,0,3,K K BISWAS,0,
234,J,CSL812,HIGH LEVEL DESIGN & MODELING,3.0,3,0,0,M BALAKRISHNA N,0,
235,L,CSL840,COMPUTER VISION,4.0,3,0,2,S BANERJEE,0,
236,K,CSL866,SPECIAL TOPICS IN ALGORITHMS,3.0,3,0,0,SANDEEP SEN,0,
237,E,CSL868,SPECIAL TOPICS IN DATA BASE SYSTEMS,3.0,3,0,0,S K GUPTA,0,
238,P,CSP701,Software Systems Laboratory,3.0,0,0,6,HUZUR SARAN,0,CORE
239,P,CSP745,DIGITAL SYSTEMS LAB,3.0,0,0,6,M BALAKRISHNA N,0,CORE
240,P,CSS310,INDEPENDENT STUDY (CS),3.0,0,3,0,VINAY RIBEIRO,0,
241,P,CSS799,INDEPENDENT STUDY,3.0,0,3,0,AMIT KUMAR,0,
242,P,CST410,PRACTICAL TRAINING,0.0,0,0,0,SAROJ KAUSHIK,0,CORE
243,P,CYD660,PROJECT PART 1,3.0,0,0,6,S NAGENDRAN,0,CORE
244,P,CYD799,MINOR PROJECT,3.0,0,0,6,NALIN PANT,0,CORE
245,P,CYD801,MAJOR PROJECT PART-I,6.0,0,0,12,NALIN PANT,0,CORE
246,P,CYD803,MAJOR PROJECT PART-I,4.0,0,0,8,NALIN PANT,0,CORE
247,CM,CYL100,INTRODUCTION TO CHEMISTRY,3.0,3,0,0,NIDHI JAIN,0,
248,EP,CYL100,INTRODUCTION TO CHEMISTRY,3.0,3,0,0,NIDHI JAIN,0,
249,D,CYL120,INORGANIC & ORGANIC CHEMISTRY- CONCEPTS & APPLNS,4.0,3,1,0,S NAGENDRAN,0,CORE
250,B,CYL501,MOLECULAR THERMODYNAMICS,3.0,3,0,0,CHARUSITA CHAKRAVART Y,0,CORE
251,D,CYL502,STEREOCHEMISTRY AND ORGANIC REACTION MECHANISMS,3.0,3,0,0,P S PANDEY,0,CORE
252,C,CYL503,MAIN GROUP CHEMISTRY AND INORGANIC SOLIDS,3.0,3,0,0,ANIL ELIAS,0,CORE
253,F,CYL504,BIOCHEMISTRY I,3.0,3,0,0,B JAYARAM,0,CORE
254,E,CYL505,INSTRUMENTAL METHODS OF ANALYSIS,3.0,3,0,0,A K SINGH,0,CORE
255,D,CYL601,GROUP THEORY & SPECTROSCOPY,3.0,3,0,0,PRAMIT CHOWDHURY,0,CORE
256,J,CYL602,PERICYCLIC REACTIONS AND PHOTOCHEMISTRY,3.0,3,0,0,S NAGENDRAN,0,CORE
257,H,CYL603,BASIC ORGANOMETALLIC CHEMISTRY,3.0,3,0,0,JAI SINGH,0,CORE
258,E,CYL604,BIOCHEMISTRY III,3.0,3,0,0,SUNIL KHARE,0,CORE
259,C,CYL665,SOLID STATE CHEMISTRY,3.0,3,0,0,A RAMANAN,0,
