S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
661,P,ESP713,ENERGY LABORATORY,3,0,0,6,SUBODH KUMAR,26
662,X,ESL704,BASIC THERMAL ENGG,1,1,0,0,S C KAUSHIK,21
663,X,JSD801,MAJOR PROJECT PART-I,6,0,0,12,K A SUBRAMANIAN,18
664,Y,ESL745,ENVIRONNENTAL AUDIT & IMPACT ASSESSMENT,3,3,0,0,AVINASH CHANDRA,29
665,Y,ESL712,BASIC ELECTRICAL ENGG,1,1,0,0,VIRESH DUTTA,18
666,Z,ESL710,"ENERGY,ECOLOGY AND ENVIRONMENT",3,3,0,0,L M DAS,29
667,Z,ESL777,ENVIRONMENTAL SCIENCE AND ENGINEERING,3,3,0,0,AVINASH CHANDRA,40
668,Z,ESL791,APPLIED MATHEMATICS & COMPUTATIONAL METHODS,1,1,0,0,SAT NARAIN,40
669,B,IDL721,MATERIAL & MECH DESIGN,4,3,0,2,I P SINGH,13
670,C,DIP751,COMMUNICATION & PRESENTATION SKILLS,4,1,0,6,AMITOJ SINGH,20
671,D,IDL741,INSTRUMENT ORGANISATION &ERGONOMICS,3,2,0,2,S K ATREYA,80
672,E,IDL711,INSTRUMENTATION TRANSDUCERS,3,3,0,0,D T SAHANI,52
673,E,DIL711,FRAMEWORK OF DESIGN,4,2,0,4,S K ATREYA,19
674,F,IDL713,ADVANCED ELECTRONIC AND COMP AND CIRCUITS,3,3,0,0,A L VYAS,2
675,F,DIP811,PRODUCT SYSTEMS SERVICES AND ENVIRONMENT,3,1,0,4,S K ATREYA,20
676,H,IDL731,OPTICAL COMPO. & BASIC INSTR,3,3,0,0,CHANDRA SHAKHER,18
677,H,DIL731,APPLIED ERGONOMICS,3.5,2,0,3,DINESH MOHAN,20
678,J,IDL730,PHOTOCHEMICAL MACHINING,3,2,0,2,RAKESH KUMAR,10
679,K,IDL737,DISPLAY DIVICES AND TECHNOLOGIES,3,3,0,0,DALIP SINGH MEHTA,17
680,P,DIR857,ANIMATION,2.5,1,0,3,KIRAN SETH,3
681,P,DIR853,COMPUTER AIDED INDUSTRIAL DESIGN,2.5,1,0,3,SAVITA GOEL,20
682,P,DID891,PROJECT - III,8.5,0,1,15,AMITOJ SINGH,20
683,P,DIP741,PRODUCT FORM AND AESTHETICS,3,1,0,4,S K ATREYA,19
684,P,DIC701,SEMINARS,1,0,0,2,S K ATREYA,20
685,P,DIP791,PROJECT INTERFACE DESIGN(PROJECT-I),4,0,1,6,S K ATREYA,19
686,P,IDP703,INSTRUMENT TECHNOLOGY,3,0,0,6,N K JAIN,14
687,P,JTD801,MAJOR PROJECT PART-I,6,0,0,12,A L VYAS,14
688,P,JTS801,INDEPENDENT STUDY,3,0,3,0,I P SINGH,80
689,P,IDP705,ADVANCED INSTRUMENT TECHNOLOGY LAB,4,0,0,8,A L VYAS,14
690,S,DIP721,EXPLORATORY PRODUCT DESIGN METHODS,3,1,0,4,AMITOJ SINGH,20
691,V,DIP781,ENGG FUNCTION MATERIALS & PROCESSES,3,1,0,4,AMITOJ SINGH,19
692,V,DIP841,ADVANCED FORM STUDIES,3.5,1,0,5,S K ATREYA,20
693,P,JVS802,INDEPENDENT STUDY,3,0,3,0,PREETI RANJAN PANDA,2
694,P,JOD801,MAJOR PROJECT PART-I,6,0,0,12,SUBRAT KAR,11
695,P,JOP791,FIBER OPTICS AND OPTICAL COMMUNICATIONS LAB,3,0,0,6,M R SHENOY,17
696,A,ITL703,FUNDAMENTALS OF TRIBOLOGY,4,3,0,2,JAYASHREE BIJWE,16
697,B,ITL709,MAINTENANCE PLANNING & CONTROL,3,3,0,0,O P GANDHI,28
698,D,ITL705,MATERIAL FOR TRIBOLOGICAL APPLICATIONS,3,3,0,0,JAYASHREE BIJWE,16
699,E,ITL810,BEARING LUBRICATION,3,2,0,2,R KPANDEY,14
700,F,ITL760,NOISE MONITORING AND CONTROL,3,2,0,2,NARESH TANDON,6
701,J,ITL752,BULK MATERIALS HANDLING,3,2,0,2,V K AGARWAL,26
702,M,ITL711,RELIABILITY AVAILABILITY AND MAINTAINABILITY(RAM),3,3,0,0,O P GANDHI,25
703,P,JID801,MAJOR PROJECT PART-I,6,0,0,12,JAYASHREE BIJWE,6
704,P,JID802,MAJOR PROJECT PART-II,12,0,0,24,JAYASHREE BIJWE,80
705,E,VEL710,TRADITIONAL KNOWLEDGE AND VALUES,3,2,1,0,VIJAYARAGHAVAN M CHARIAR,27
706,M,VEL700,HUMAN VALUES AND TECHNOLOGY,3,2,1,0,P L DHAR,7
707,P,VED750,MINOR PROJECT,3,0,0,6,M R RAVI,20
708,B,PTL707,POLYMER ENGG. & RHEOLOGY,3,3,0,0,A K GHOSH,25
709,C,PTL705,POLYMER CHARACTERIZATION,3,2,0,2,JOSEMON JACOB,34
710,D,PTL701,POLYMER CHEMISTRY,3,3,0,0,VEENA CHAUDHARY,24
711,E,PTL703,POLYMER PHYSICS,3,3,0,0,A K GUPTA,25
712,F,PTL709,POLYMER TECHNOLOGY,3,3,0,0,S N MAITI,25
713,J,PTL724,POLYMERIC COATINGS,3,3,0,0,HARPAL SINGH,13
714,M,PTL726,POLYMERIC NANOMATERIALS AND NANOCOMPOSITES,3,3,0,0,BHABANI KUMAR SATAPATHY,11
715,P,PTP710,POLYMER SCI LAB,2,0,0,4,VEENA CHAUDHARY,24
716,P,JPD801,MAJOR PROJECT PART-I,6,0,0,12,S N MAITI,16
717,B,RDL340,TECHNOLOGY AND COMMUNITY DEVELOPMENT,4,3,1,0,SANTOSH,78
718,D,RDL730,TECHNOLOGY ALTERNATIVES FOR RURAL DEVELOPMENT,3,3,0,0,VIJAYARAGHAVAN M CHARIAR,61
719,H,RDL720,RURAL INDUSTRIAL PLANNING AND MANAGEMENT,3,3,0,0,VIRENDRA KUMAR VIJAY,68
720,J,RDL700,BIOMAS PRODUCTION,3,3,0,0,SATYAWATI SHARMA,26
721,M,RDL740,TECHNOLOGY OF UTILIZATION OF WASTELANDS & WEEDS,3,3,0,0,ANUSHREE MALIK,20
722,P,RDP750,BIOMASS LABORATORY,3,0,0,6,SATYAWATI SHARMA,9
723,P,RDD750,MINOR PROJECT,3,3,0,0,ANUSHREE MALIK,22
